,country,state,city,station,last_update,latitude,longitude,pollutant_id,min_pollution,max_pollution,avg_pollution
616,India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",2025-04-03 20:00:00,28.802625,78.753728,NO2,27.0,28.0,27.0
617,India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",2025-04-03 20:00:00,28.802625,78.753728,CO,8.0,94.0,52.0
618,India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",2025-04-03 20:00:00,29.4723508,77.7194031,PM2.5,60.0,307.0,102.0
619,India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",2025-04-03 20:00:00,22.7605581,88.3617589,OZONE,6.0,77.0,53.0
620,India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2025-04-03 20:00:00,23.567923,87.306843,NH3,1.0,5.0,2.0
621,India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",2025-04-03 20:00:00,23.567923,87.306843,SO2,6.0,95.0,21.0
622,India,Uttar_Pradesh,Noida,"Sector - 62, Noida - IMD",2025-04-03 20:00:00,28.6245479,77.3577104,PM10,22.833990795529257,84.25476660092045,48.303747534516766
623,India,Uttar_Pradesh,Noida,"Sector-1, Noida - UPPCB",2025-04-03 20:00:00,28.5898,77.3101,PM10,12.0,110.0,72.0
624,India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",2025-04-03 20:00:00,23.616515,87.119133,PM2.5,66.0,308.0,137.0
625,India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",2025-04-03 20:00:00,23.616515,87.119133,PM10,91.0,265.0,155.0
626,India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",2025-04-03 20:00:00,23.508764,87.35444,PM10,69.0,205.0,129.0
627,India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",2025-04-03 20:00:00,22.06047,88.109737,PM2.5,5.0,43.0,20.0
628,India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",2025-04-03 20:00:00,22.06047,88.109737,CO,20.0,31.0,23.0
629,India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",2025-04-03 20:00:00,22.06047,88.109737,OZONE,21.0,25.0,23.0
630,India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",2025-04-03 20:00:00,22.554954,88.292568,NH3,2.0,2.0,2.0
631,India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",2025-04-03 20:00:00,22.554954,88.292568,SO2,4.0,8.0,5.0
632,India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",2025-04-03 20:00:00,22.611968,88.347422,PM10,54.0,106.0,76.0
633,India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",2025-04-03 20:00:00,22.611968,88.347422,NH3,22.833990795529257,84.25476660092045,48.303747534516766
634,India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",2025-04-03 20:00:00,22.58157048,88.41002457,PM10,31.0,66.0,40.0
635,India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",2025-04-03 20:00:00,22.58157048,88.41002457,NH3,6.0,11.0,7.0
636,India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",2025-04-03 20:00:00,22.58157048,88.41002457,SO2,7.0,12.0,9.0
637,India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",2025-04-03 20:00:00,22.49929,88.36917,SO2,5.0,15.0,8.0
638,India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",2025-04-03 20:00:00,22.627847,88.380669,PM10,42.0,88.0,61.0
639,India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",2025-04-03 20:00:00,22.627847,88.380669,OZONE,22.0,70.0,55.0
640,India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",2025-04-03 20:00:00,22.51106,88.35142,CO,17.0,24.0,22.0
641,India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",2025-04-03 20:00:00,22.51106,88.35142,OZONE,10.0,83.0,47.0
642,India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2025-04-03 20:00:00,22.5448082,88.3403691,PM10,53.0,103.0,71.0
643,India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2025-04-03 20:00:00,22.5448082,88.3403691,SO2,4.0,13.0,8.0
644,India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",2025-04-03 20:00:00,22.5448082,88.3403691,OZONE,13.0,81.0,53.0
