country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","03-04-2025 20:00:00",11.875000,75.373200,PM2.5,48,53,50
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","03-04-2025 20:00:00",17.336318,76.847397,PM10,26,84,44
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","03-04-2025 20:00:00",17.336318,76.847397,NO2,8,20,15
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","03-04-2025 20:00:00",17.336318,76.847397,NH3,2,4,3
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","03-04-2025 20:00:00",17.336318,76.847397,OZONE,2,14,8
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","03-04-2025 20:00:00",12.21041,76.37376,PM10,34,59,42
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","03-04-2025 20:00:00",12.21041,76.37376,CO,5,42,18
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","03-04-2025 20:00:00",23.81748678,79.446246,PM2.5,19,52,37
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","03-04-2025 20:00:00",23.81748678,79.446246,PM10,23,61,44
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","03-04-2025 20:00:00",23.81748678,79.446246,CO,20,24,22
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","03-04-2025 20:00:00",22.9682591,76.064118,PM2.5,72,291,118
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","03-04-2025 20:00:00",22.9682591,76.064118,CO,18,95,22
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","03-04-2025 20:00:00",22.9682591,76.064118,OZONE,53,79,57
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","03-04-2025 20:00:00",26.203442,78.193251,PM2.5,34,358,136
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","03-04-2025 20:00:00",26.203442,78.193251,NO2,7,92,31
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","03-04-2025 20:00:00",26.259242,78.216432,PM2.5,72,400,224
